fh_file_format_version|fh_vendor_name|fh_dn_prefix|fh_fs_local_dn|fh_fs_element_type|fh_mc_begin_time|ff_mc_end_time|md_me_local_dn|md_me_user_label|md_me_sw_version|md_mi_meas_info_id|md_mi_job_jobid|md_mi_gp_duration|md_mi_gp_end_time|md_mi_rp_duration|md_mi_meas_obj_ldn|md_mi_meas_name|md_mi_meas_value|md_mi_meas_p|md_mi_meas_suspect
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category A|01|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=1|MM.AttGprsAttach|10||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category A|01|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=1|MM.SuccGprsAttach|20||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category A|01|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=1|MM.AbortedGprsAttach|30||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category A|01|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=1|MM.AttIntraSgsnRaUpdate|40||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category B|02|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=2|MM.AttCombiAttach|50||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category B|02|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=2|MM.SuccCombiAttach|60||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category B|02|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=2|MM.|70||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category B|02|PT900S|2005-06-09T13:15:00-06:00|PT1800S|SgsnFunction=2|MM.AbortedCombiAttachMM.AttCombiDetachMs|80||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category C|03|PT1800S|2005-06-09T13:15:00-06:00|PT900S|SgsnFunction=3|MM.AttPsPagingProcIu|25||
32.435 v6.1|Company NN|SubNetwork=1|OMC_PS=10|Element Manager|2005-06-09T13:00:00-05:00|2005-06-09T13:15:00-06:00|ManagedElement=PS_Core|SGSN|R30.1.5|Category C|03|PT1800S|2005-06-09T13:15:00-06:00|PT900S|SgsnFunction=3|MM.SuccPsPagingProcIu|30||
